Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Air Austral - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ServiceProvider|https://www.datatourisme.fr/ontology/core#Transporter,-20.891702,55.512326,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Air Austral - Agence de l'Aéroport Roland Garros#http://www.air-austral.com/,,,https://data.datatourisme.fr/54/f76e7d2f-d7c7-383a-be83-15c290fcc135
Passion Outremer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#LocalProductsShop|http://schema.org/LocalBusiness,-20.891495,55.512258,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2023-03-17,Passion Outremer#http://www.passion-outremer.com/,,,https://data.datatourisme.fr/54/e99a3708-7e99-34f3-9b1d-5218c73ec817
Ada Location - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892825,55.511239,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Ada Location - Agence de l'Aéroport Roland Garros#https://www.ada-reunion.com/,,,https://data.datatourisme.fr/54/45134b77-0614-3372-9d95-661549e6b434
ITC Tropicar - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892429,55.510979,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2022-04-20,ITC Tropicar - Agence de l'Aéroport Roland Garros#https://www.itctropicar.fr/agences-location-voiture-reunion/aeroport-roland-garros,,,https://data.datatourisme.fr/54/124555f5-f6a3-3ef9-9726-3a7788c2bb34
Europcar - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892219,55.511226,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Europcar - Agence de l'Aéroport Roland Garros#https://www.europcar-reunion.com/,,,https://data.datatourisme.fr/54/f9673968-aa03-3699-8ed5-e526da5eb0b1
Au Bas Prix - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892695,55.511362,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2022-03-29,Au Bas Prix - Agence de l'Aéroport Roland Garros#http://www.aubasprix.fr/,,,https://data.datatourisme.fr/54/c616d64c-87d9-3beb-b40d-c88a9f035208
Sixt - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892498,55.511731,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Sixt - Agence de l'Aéroport Roland Garros#https://www.sixt.fr/location-voiture/la-reunion,,,https://data.datatourisme.fr/54/30f34981-f3d0-3bac-bb77-e699a4ab9eef
Corsair - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ServiceProvider|https://www.datatourisme.fr/ontology/core#Transporter,-20.891296,55.51193,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2022-08-30,Corsair - Agence de l'Aéroport Roland Garros#https://www.flycorsair.com/fr,,,https://data.datatourisme.fr/54/7ae6a870-392a-3d4d-aa76-d7ec36b42184
Senteur Vanille (Le),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-20.89128072,55.51223881,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Senteur Vanille (Le)#,,,https://data.datatourisme.fr/54/179800c1-b912-32ef-9c70-a4ee050297e4
Frenchbee -Agence de l'Aéroport,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ServiceProvider|https://www.datatourisme.fr/ontology/core#Transporter,-20.893649,55.517915,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2022-08-29,Frenchbee -Agence de l'Aéroport#https://re.frenchbee.com/fr,,,https://data.datatourisme.fr/54/7df3c55b-d8f7-3938-8298-0e8e264e98d8
